HelmName,SailNo,Class,RaceNo,Elapsed,Code
Annah Winheld,2687,ILCA 6,4,0:00:00,DNC
Tim Friedel,9225,ILCA 6,1,0:36:30,
Ash Thyne,159762,ILCA 7,1,0:36:41,
Ash Thyne,159762,ILCA 7,4,0:18:35,
Chris Maurice,136697,ILCA 6,3,0:17:26,
,116033,ILCA 7,3,0:18:36,
Phil Galloway,181965,ILCA 6,2,0:48:17,
Chris Maurice,136697,ILCA 6,4,0:17:58,
Brian Dixon,93247,ILCA 7,3,0:18:15,
,2983,ILCA 7,2,0:52:00,
,159764,ILCA 4,2,0:51:41,
Annah Winheld,2687,ILCA 6,3,0:18:24,
Tim Prickett,86,ILCA 6,3,0:18:31,
Martin Outram,123381,ILCA 7,2,0:45:19,
Brian Dixon,93247,ILCA 7,4,0:18:37,
,136737,ILCA 7,4,0:00:00,DNC
,131737,ILCA 6,2,0:00:00,DNC
Tim Friedel,9225,ILCA 6,2,0:50:07,
,131737,ILCA 6,1,0:00:00,DNC
Amber Judkins,2983,ILCA 6,1,0:38:43,
Ash Thyne,159762,ILCA 7,3,0:17:37,
,131737,ILCA 6,3,0:00:00,DNC
Josh Judkins,159764,ILCA 4,1,0:00:00,DNC
Annah Winheld,2687,ILCA 6,2,0:51:15,
Martin Outram,123381,ILCA 7,3,0:16:23,
Dom Sutton,168688,ILCA 7,3,0:16:36,
Jack Dudley,198112,ILCA 7,2,0:46:05,
Jack Dudley,198112,ILCA 7,1,0:35:24,
,131737,ILCA 6,4,0:00:00,DNC
George Ward,116033,ILCA 7,2,0:50:49,
Nick Reid,31357,ILCA 6,2,0:46:05,
Dom Sutton,168688,ILCA 7,1,0:34:38,
,2983,ILCA 7,4,0:19:35,
Dom Sutton,168688,ILCA 7,4,0:16:26,
Brian Dixon,93247,ILCA 7,1,0:35:20,
Tim Prickett,86,ILCA 6,1,0:35:37,
George Ward,116033,ILCA 7,1,0:37:53,
Chris Maurice,136697,ILCA 6,1,0:36:16,
Tim Friedel,9225,ILCA 6,3,0:19:08,
William Buick,123384,ILCA 6,2,0:47:29,
,2984,ILCA 6,4,0:18:32,
Julia Van Essen,176916,ILCA 6,3,0:17:56,
Annah Winheld,2687,ILCA 6,1,0:39:11,
Julia Van Essen,176916,ILCA 6,2,0:47:58,
Phil Galloway,181965,ILCA 6,3,0:18:18,
,2983,ILCA 6,3,0:17:45,
Brian Dixon,93247,ILCA 7,2,0:46:41,
Julia Van Essen,176916,ILCA 6,4,0:17:45,
Dom Sutton,168688,ILCA 7,2,0:45:34,
Tim Friedel,9225,ILCA 7,4,0:00:00,DNC
,136737,ILCA 7,1,0:00:00,DNC
,2984,ILCA 7,3,0:00:00,DNC
,136737,ILCA 7,3,0:21:02,
Phil Galloway,181965,ILCA 6,4,0:17:31,
Martin Outram,123381,ILCA 7,1,0:34:01,
Chris Maurice,136697,ILCA 6,2,0:48:06,
,159764,ILCA 4,4,0:19:45,
Ash Thyne,159762,ILCA 7,2,0:45:47,
,2984,ILCA 7,1,0:00:00,DNC
Nick Reid,31357,ILCA 6,3,0:17:21,
,116033,ILCA 7,4,0:18:23,
Tim Prickett,86,ILCA 6,2,0:47:36,
,159764,ILCA 4,3,0:20:28,
,136737,ILCA 4,2,0:00:00,DNC
Martin Outram,123381,ILCA 7,4,0:17:02,
William Buick,123384,ILCA 7,3,0:17:29,
Jack Dudley,198112,ILCA 7,3,0:16:48,
Nick Reid,31357,ILCA 6,4,0:17:28,
Phil Galloway,181965,ILCA 6,1,0:35:03,
Nick Reid,31357,ILCA 6,1,0:33:40,
,2984,ILCA 6,2,0:00:00,DNC
Jack Dudley,198112,ILCA 7,4,0:17:14,
Tim Prickett,86,ILCA 6,4,0:18:10,
Julia Van Essen,176916,ILCA 6,1,0:39:56,
William Buick,123384,ILCA 7,4,0:19:41,
William Buick,123384,ILCA 7,1,0:35:31,
